code,code_type,short_description,long_description
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
710207,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
R07.9-5757,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
K21.9-3793,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
810010,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
N39.0-3911,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
M54.5-3854,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
930100,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-4636,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
R07.9-2927,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-5841,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
A41.9-1771,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
J18.9-4941,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-4356,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
M54.5-2261,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-3313,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
I10-2796,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
E11.9-3320,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
M54.5-4282,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
364159,CPT,venipuncture,venipuncture documented during patient clinical encounter
M54.5-4985,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
A41.9-4615,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-5042,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-2919,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-5279,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
453780,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
C34.90-5248,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-2359,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-639,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
R07.9-1827,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
Z00.00-3425,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-2688,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
930006,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
Z00.00-872,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
R07.9-601,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
Z00.00-5575,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-80,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
E11.9-36,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-2342,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930105,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
364156,CPT,venipuncture,venipuncture documented during patient clinical encounter
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-3154,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
992145,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
N39.0-2028,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
810013,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
K21.9-4607,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
A41.9-3908,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
I10-700,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
E11.9-3454,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
N39.0-52,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930103,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-3368,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
C34.90-5604,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-4057,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
710208,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
M54.5-4291,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
I10-3654,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-2593,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
M54.5-5752,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
992141,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
710205,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
K21.9-5327,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
850257,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
K21.9-3124,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
710202,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
E11.9-1344,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
Z00.00-5069,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
364157,CPT,venipuncture,venipuncture documented during patient clinical encounter
E11.9-4626,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992140,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
930001,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
710204,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
K21.9-875,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
850259,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
992134,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-2329,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
J18.9-1432,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
C34.90-3086,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
364158,CPT,venipuncture,venipuncture documented during patient clinical encounter
E11.9-2862,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
Z00.00-127,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-2391,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
930007,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
N39.0-567,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
J18.9-5577,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
R07.9-3190,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
930105,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
I10-5851,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
Z00.00-1575,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
M54.5-3828,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
M54.5-3481,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
R07.9-124,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-4503,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
810012,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
C34.90-3754,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
E11.9-799,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
C34.90-1989,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
I10-915,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
992132,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
364152,CPT,venipuncture,venipuncture documented during patient clinical encounter
M54.5-3289,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
800536,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
R07.9-5106,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
E11.9-35,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
M54.5-2013,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
C34.90-2202,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
M54.5-3144,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
I10-874,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
J18.9-4829,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
810019,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
800539,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
E11.9-1733,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-570,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
992130,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-5480,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
M54.5-5418,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
A41.9-5484,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
K21.9-3797,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
453782,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
930101,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
J18.9-1735,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
R07.9-1162,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
850254,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
R07.9-1797,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
Z00.00-176,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
I10-97,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
I10-1921,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
992144,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
710202,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
992139,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
Z00.00-541,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
J18.9-4375,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992136,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
R07.9-5919,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
A41.9-4940,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
J18.9-4249,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
E11.9-811,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
I10-1419,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
364151,CPT,venipuncture,venipuncture documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
K21.9-1844,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
810017,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
930002,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
M54.5-1151,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
992141,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
J18.9-2023,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-1514,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
992135,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-4496,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
810012,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
992146,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
992148,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
850255,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
E11.9-5084,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
K21.9-3340,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
800534,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
M54.5-3876,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
364153,CPT,venipuncture,venipuncture documented during patient clinical encounter
C34.90-717,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
800530,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
Z00.00-5611,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
N39.0-761,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
800535,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
810010,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
A41.9-3715,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-10,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-5284,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
K21.9-1311,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
Z00.00-1937,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
810011,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
M54.5-4651,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
J18.9-2323,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
364152,CPT,venipuncture,venipuncture documented during patient clinical encounter
C34.90-2989,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-5878,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-2821,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
C34.90-3626,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
A41.9-1233,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
C34.90-1317,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
M54.5-3396,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
930107,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
A41.9-2170,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
N39.0-4144,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
I10-1922,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
930103,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
C34.90-1322,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-1876,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
930109,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
810013,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
K21.9-5990,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
453785,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
N39.0-2942,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
M54.5-5127,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
800535,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
930002,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-881,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-680,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
710208,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
I10-2865,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
453781,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
992144,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
Z00.00-3021,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
C34.90-3902,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
930000,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-5822,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
J18.9-3184,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
M54.5-5308,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
710204,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
453787,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
710206,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
850255,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
K21.9-5640,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
R07.9-2603,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
A41.9-5764,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-3314,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
C34.90-5976,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-2903,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
930101,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
453786,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
A41.9-3508,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
453784,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
810019,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
K21.9-4735,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
I10-1351,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
364155,CPT,venipuncture,venipuncture documented during patient clinical encounter
850255,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
800537,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
364154,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-4733,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-2292,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
N39.0-2529,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
Z00.00-4568,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-3630,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
J18.9-1444,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
850252,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
J18.9-2622,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
Z00.00-326,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-5768,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992148,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
A41.9-3423,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
Z00.00-4645,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
C34.90-4530,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
C34.90-5634,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
364155,CPT,venipuncture,venipuncture documented during patient clinical encounter
J18.9-5365,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
810012,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
K21.9-3737,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
N39.0-3584,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
R07.9-2808,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-1871,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
800538,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
810017,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
930002,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
A41.9-5372,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992143,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
930104,CPT,ecg interpretation and report,ecg interpretation and report documented during patient clinical encounter
Z00.00-2295,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-4723,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
Z00.00-2142,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
E11.9-5049,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992149,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
C34.90-305,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
Z00.00-5653,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
A41.9-4257,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
992131,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
453780,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
Z00.00-3566,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
Z00.00-5016,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
C34.90-3691,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
930008,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
R07.9-3352,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
992133,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-347,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
453782,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
800533,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
453786,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
R07.9-5065,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-308,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-2579,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
453789,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
M54.5-408,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-4544,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
810011,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
