code,short_description,long_description,category
29882,arthroscopy knee with meniscus repair medial or lateral,arthroscopy of knee surgical with meniscus repair medial or lateral compartment,Surgery - Musculoskeletal
29888,arthroscopy knee anterior cruciate ligament reconstruction,arthroscopically aided anterior cruciate ligament repair or reconstruction with tendon graft harvesting,Surgery - Musculoskeletal
30000,drainage of abscess or hematoma of nasal septum,drainage of abscess or hematoma of nasal septum,Surgery - Respiratory
30100,biopsy intranasal,biopsy of intranasal tissue mass or lesion for pathological examination,Surgery - Respiratory
30110,excision nasal polyp simple,excision of nasal polyp or polyps simple single or bilateral,Surgery - Respiratory
30115,excision nasal polyp extensive,excision of nasal polyps extensive requiring general anesthesia and debridement,Surgery - Respiratory
30117,excision or destruction intranasal lesion internal approach,excision or destruction of intranasal lesion internal approach including cautery or cryotherapy,Surgery - Respiratory
30140,submucous resection inferior turbinate partial or complete,submucous resection of inferior turbinate partial or complete including any lateral displacement of turbinate bone,Surgery - Respiratory
30300,removal of foreign body intranasal office type,removal of foreign body from intranasal cavity office type procedure,Surgery - Respiratory
30410,rhinoplasty primary complete external parts,rhinoplasty primary complete lateral and alar cartilages and or elevation of nasal tip external parts,Surgery - Respiratory
30420,rhinoplasty primary including major septal repair,rhinoplasty primary including major septal repair nasal septoplasty with rhinoplasty,Surgery - Respiratory
30520,septoplasty with or without cartilage scoring,septoplasty or submucous resection with or without cartilage scoring contouring or replacement with graft for deviated septum,Surgery - Respiratory
31231,nasal endoscopy diagnostic,nasal endoscopy diagnostic unilateral or bilateral examination of nasal passages and nasopharynx,Surgery - Respiratory
31237,nasal endoscopy surgical with biopsy polypectomy or debridement,nasal or sinus endoscopy surgical with biopsy polypectomy or debridement unilateral or bilateral,Surgery - Respiratory
31254,nasal endoscopy with ethmoidectomy partial anterior,nasal or sinus endoscopy surgical with ethmoidectomy partial anterior including removal of tissue polyps,Surgery - Respiratory
31255,nasal endoscopy with ethmoidectomy total anterior and posterior,nasal or sinus endoscopy surgical with ethmoidectomy total anterior and posterior for chronic sinusitis,Surgery - Respiratory
31256,nasal endoscopy with maxillary antrostomy,nasal or sinus endoscopy surgical with maxillary antrostomy for drainage of maxillary sinus disease,Surgery - Respiratory
31267,nasal endoscopy with maxillary antrostomy and removal of tissue,nasal or sinus endoscopy surgical with maxillary antrostomy with removal of tissue from maxillary sinus,Surgery - Respiratory
31276,nasal endoscopy with frontal sinus exploration,nasal or sinus endoscopy surgical with frontal sinus exploration including sinusotomy frontal recess approach,Surgery - Respiratory
31500,emergency endotracheal intubation,intubation endotracheal emergency procedure including placement of endotracheal tube and verification,Surgery - Respiratory
31525,laryngoscopy direct diagnostic with or without tracheoscopy,laryngoscopy direct diagnostic except newborn with or without tracheoscopy,Surgery - Respiratory
31535,laryngoscopy direct operative with biopsy,laryngoscopy direct operative with biopsy of laryngeal mass or lesion,Surgery - Respiratory
31536,laryngoscopy direct operative with excision of tumor,laryngoscopy direct operative with excision of tumor and or stripping of vocal cords or epiglottis,Surgery - Respiratory
31575,laryngoscopy flexible diagnostic,laryngoscopy flexible fiberoptic diagnostic examination of larynx and hypopharynx,Surgery - Respiratory
31622,bronchoscopy diagnostic with cell washing,bronchoscopy rigid or flexible diagnostic including cell washing when performed for evaluation of airway,Surgery - Respiratory
31623,bronchoscopy with brushing or protected brushings,bronchoscopy with brushing or protected brushings for obtaining specimens from lower respiratory tract,Surgery - Respiratory
31624,bronchoscopy with bronchial alveolar lavage,bronchoscopy with bronchial alveolar lavage for diagnostic evaluation of pulmonary disease,Surgery - Respiratory
31625,bronchoscopy with bronchial biopsy,bronchoscopy with bronchial or endobronchial biopsy single or multiple sites for tissue diagnosis,Surgery - Respiratory
33016,pericardiocentesis including imaging guidance,pericardiocentesis including imaging guidance and monitoring for drainage of pericardial effusion,Surgery - Cardiovascular
33020,pericardiostomy for removal of clot or foreign body,pericardiostomy for removal of clot foreign body or exploration of pericardium,Surgery - Cardiovascular
33025,creation of pericardial window for drainage,creation of pericardial window or partial resection for drainage of pericardial effusion,Surgery - Cardiovascular
33120,excision of intracardiac tumor,excision of intracardiac tumor resection with cardiopulmonary bypass,Surgery - Cardiovascular
33202,insertion of epicardial electrode,insertion of epicardial electrode by thoracotomy approach for permanent pacemaker or defibrillator,Surgery - Cardiovascular
33206,insertion of permanent pacemaker atrial,insertion of new or replacement of permanent pacemaker with transvenous electrode atrial,Surgery - Cardiovascular
33207,insertion of permanent pacemaker ventricular,insertion of new or replacement of permanent pacemaker with transvenous electrode ventricular,Surgery - Cardiovascular
33208,insertion of permanent pacemaker dual chamber,insertion of new or replacement of permanent pacemaker with transvenous electrodes atrial and ventricular dual chamber,Surgery - Cardiovascular
33210,insertion of temporary transvenous pacemaker electrode,insertion of temporary transvenous single chamber cardiac electrode or pacemaker catheter,Surgery - Cardiovascular
33213,insertion of pacemaker pulse generator dual lead,insertion of pacemaker pulse generator only with existing dual leads including connection to existing leads,Surgery - Cardiovascular
33216,insertion of single transvenous electrode permanent pacemaker,insertion of a single transvenous electrode for permanent pacemaker or cardioverter defibrillator,Surgery - Cardiovascular
33217,insertion of dual transvenous electrodes permanent pacemaker,insertion of 2 transvenous electrodes for permanent pacemaker or cardioverter defibrillator,Surgery - Cardiovascular
33225,insertion of pacing electrode left ventricular via coronary sinus,insertion of pacing electrode cardiac venous system for left ventricular pacing via coronary venous system,Surgery - Cardiovascular
33233,removal of permanent pacemaker pulse generator,removal of permanent pacemaker pulse generator only without replacement,Surgery - Cardiovascular
33249,insertion or replacement of permanent implantable defibrillator,insertion or replacement of permanent implantable cardioverter defibrillator system with transvenous leads,Surgery - Cardiovascular
33261,operative ablation of ventricular tachycardia,operative tissue ablation and reconstruction of atria or ventricles for treatment of ventricular tachycardia,Surgery - Cardiovascular
33405,aortic valve replacement with cardiopulmonary bypass,replacement of aortic valve with cardiopulmonary bypass with prosthetic valve other than homograft or stentless valve,Surgery - Cardiovascular
33426,mitral valve repair,mitral valve valvuloplasty repair including cardiopulmonary bypass for mitral regurgitation,Surgery - Cardiovascular
33430,mitral valve replacement,replacement of mitral valve with cardiopulmonary bypass with prosthetic valve for mitral stenosis or regurgitation,Surgery - Cardiovascular
33510,coronary artery bypass graft using venous single graft,coronary artery bypass vein only single coronary venous graft for coronary artery disease,Surgery - Cardiovascular
33511,coronary artery bypass graft using venous 2 grafts,coronary artery bypass vein only 2 coronary venous grafts for treatment of coronary artery disease,Surgery - Cardiovascular
33512,coronary artery bypass graft using venous 3 grafts,coronary artery bypass vein only 3 coronary venous grafts for multivessel coronary artery disease,Surgery - Cardiovascular
33533,coronary artery bypass graft using arterial single graft,coronary artery bypass using arterial graft single arterial graft including harvesting of artery,Surgery - Cardiovascular
33534,coronary artery bypass graft using arterial 2 grafts,coronary artery bypass using arterial graft 2 coronary arterial grafts including harvesting of grafts,Surgery - Cardiovascular
33572,coronary endarterectomy open performed with cabg,coronary endarterectomy open any method of coronary artery performed in conjunction with coronary artery bypass graft,Surgery - Cardiovascular
33880,endovascular repair of descending thoracic aorta,endovascular repair of descending thoracic aorta using stent graft including coverage of left subclavian artery,Surgery - Cardiovascular
33881,endovascular repair of descending thoracic aorta extension,placement of proximal extension prosthesis for endovascular repair of descending thoracic aorta,Surgery - Cardiovascular
34800,endovascular repair of infrarenal abdominal aortic aneurysm,endovascular repair of infrarenal abdominal aortic aneurysm or dissection including deployment of bifurcated prosthesis,Surgery - Cardiovascular
35301,carotid endarterectomy with or without patch graft,thromboendarterectomy including patch graft of carotid artery by neck incision for carotid stenosis,Surgery - Cardiovascular
35302,superficial femoral artery endarterectomy,thromboendarterectomy including patch graft of superficial femoral artery for peripheral vascular disease,Surgery - Cardiovascular
35500,venous bypass graft harvest of vein,harvest of upper extremity vein one segment for lower extremity or coronary artery bypass procedure,Surgery - Cardiovascular
35556,bypass graft femoral popliteal,bypass graft with vein femoral popliteal for peripheral arterial occlusive disease,Surgery - Cardiovascular
35656,bypass graft femoral popliteal with synthetic conduit,bypass graft with other than vein femoral popliteal for peripheral arterial disease,Surgery - Cardiovascular
36000,introduction of needle or intracatheter vein,introduction of needle or intracatheter into vein for intravenous access,Surgery - Cardiovascular
36010,introduction of catheter superior or inferior vena cava,introduction of catheter into superior or inferior vena cava,Surgery - Cardiovascular
36140,introduction of needle or catheter upper extremity artery,introduction of needle or intracatheter into upper extremity artery for arterial puncture,Surgery - Cardiovascular
36200,introduction of catheter aorta,introduction of catheter aorta performed from any approach for angiography,Surgery - Cardiovascular
36215,selective catheter placement renal artery,selective catheter placement arterial system each first order renal artery branch,Surgery - Cardiovascular
36245,selective catheter placement arterial second order,selective catheter placement arterial system second order thoracic or brachiocephalic branch,Surgery - Cardiovascular
36410,venipuncture age 3 years or older for specimen collection,venipuncture patient 3 years or older requiring physician or other qualified health professional skill for specimen collection,Surgery - Cardiovascular
36415,collection of venous blood by venipuncture routine,collection of venous blood by venipuncture routine phlebotomy for laboratory testing,Surgery - Cardiovascular
36556,insertion of non tunneled centrally inserted central venous catheter,insertion of non tunneled centrally inserted central venous catheter age 5 years or older,Surgery - Cardiovascular
36561,insertion of tunneled centrally inserted central venous catheter,insertion of tunneled centrally inserted central venous access device with subcutaneous port,Surgery - Cardiovascular
36600,arterial puncture for blood gas collection,arterial puncture withdrawal of blood for diagnosis of arterial blood gas analysis,Surgery - Cardiovascular
37228,revascularization iliac artery with stent,revascularization open or percutaneous tibial peroneal with transluminal stent placement including angioplasty,Surgery - Cardiovascular
37700,ligation and division of long saphenous vein,ligation and division of long saphenous vein at saphenofemoral junction or distal interruptions for varicose veins,Surgery - Cardiovascular
40490,biopsy of lip,biopsy of lip tissue for pathological examination of oral lesion,Surgery - Digestive
40808,biopsy of vestibule of mouth,biopsy of vestibule of mouth for pathological examination of oral mucosal lesion,Surgery - Digestive
41100,biopsy of tongue anterior two thirds,biopsy of tongue anterior two thirds for pathological diagnosis of tongue lesion,Surgery - Digestive
42100,biopsy of palate uvula,biopsy of palate or uvula tissue for pathological examination of palatal lesion,Surgery - Digestive
42415,excision of parotid gland or tumor lateral lobe,excision of parotid tumor or parotid gland lateral lobe without nerve dissection for parotid mass,Surgery - Digestive
42700,incision and drainage of peritonsillar abscess,incision and drainage of abscess peritonsillar also known as quinsy drainage,Surgery - Digestive
42820,tonsillectomy and adenoidectomy younger than age 12,tonsillectomy and adenoidectomy for patient younger than age 12 for recurrent tonsillitis or obstructive sleep apnea,Surgery - Digestive
42826,tonsillectomy primary or secondary age 12 or over,tonsillectomy primary or secondary for patient age 12 or over for recurrent tonsillitis,Surgery - Digestive
43200,esophagoscopy flexible diagnostic,esophagoscopy flexible transoral diagnostic including collection of specimen by brushing or washing when performed,Surgery - Digestive
43202,esophagoscopy with biopsy,esophagoscopy flexible transoral with biopsy single or multiple for diagnosis of esophageal pathology,Surgery - Digestive
43215,esophagoscopy with removal of foreign body,esophagoscopy flexible transoral with removal of foreign body from esophagus,Surgery - Digestive
43235,esophagogastroduodenoscopy diagnostic,esophagogastroduodenoscopy flexible transoral diagnostic including collection of specimens by brushing or washing when performed,Surgery - Digestive
43239,upper gi endoscopy with biopsy,esophagogastroduodenoscopy flexible transoral with biopsy single or multiple for pathological diagnosis of upper gi disease,Surgery - Digestive
43246,upper gi endoscopy with gastrostomy tube placement,esophagogastroduodenoscopy flexible transoral with directed placement of percutaneous gastrostomy tube,Surgery - Digestive
43247,upper gi endoscopy with foreign body removal,esophagogastroduodenoscopy flexible transoral with removal of foreign body from upper gastrointestinal tract,Surgery - Digestive
43248,upper gi endoscopy with dilation of esophagus,esophagogastroduodenoscopy flexible transoral with insertion of guide wire followed by passage of dilator over guide wire,Surgery - Digestive
43249,upper gi endoscopy with balloon dilation of esophagus,esophagogastroduodenoscopy flexible transoral with balloon dilation of esophagus less than 30 mm diameter,Surgery - Digestive
43255,upper gi endoscopy with control of bleeding,esophagogastroduodenoscopy flexible transoral with control of bleeding by injection cautery or other methods,Surgery - Digestive
43280,laparoscopic fundoplication for gastroesophageal reflux,laparoscopy surgical esophagogastric fundoplasty nissen fundoplication for gastroesophageal reflux disease,Surgery - Digestive
43289,laparoscopic unlisted esophageal procedure,unlisted laparoscopy procedure for esophagus including diagnostic and therapeutic procedures,Surgery - Digestive
44120,enterectomy resection of small intestine,enterectomy resection of small intestine single resection and anastomosis for small bowel disease,Surgery - Digestive
44140,colectomy partial with anastomosis,colectomy partial with anastomosis for colon cancer diverticular disease or other colonic pathology,Surgery - Digestive
44180,laparoscopic enterolysis lysis of adhesions,laparoscopy surgical enterolysis lysis of adhesions freeing of intestinal adhesions,Surgery - Digestive
44202,laparoscopic enterectomy small intestine resection,laparoscopy surgical enterectomy resection of small intestine single resection and anastomosis,Surgery - Digestive
44204,laparoscopic colectomy partial with anastomosis,laparoscopy surgical colectomy partial with anastomosis for colon cancer or diverticulitis,Surgery - Digestive
44312,revision of ileostomy,revision of ileostomy including simple lysis or relocation of ostomy,Surgery - Digestive
44950,appendectomy,appendectomy open approach for acute appendicitis with or without abscess drainage,Surgery - Digestive
44970,laparoscopic appendectomy,laparoscopy surgical appendectomy for acute appendicitis including removal of appendix,Surgery - Digestive
45300,proctosigmoidoscopy diagnostic,proctosigmoidoscopy rigid diagnostic with or without collection of specimen by brushing or washing,Surgery - Digestive
45330,sigmoidoscopy flexible diagnostic,sigmoidoscopy flexible diagnostic including collection of specimen by brushing or washing when performed,Surgery - Digestive
45331,sigmoidoscopy flexible with biopsy,sigmoidoscopy flexible with biopsy single or multiple for pathological diagnosis of colorectal disease,Surgery - Digestive
45378,colonoscopy flexible diagnostic,colonoscopy flexible proximal to splenic flexure diagnostic including collection of specimen by brushing or washing,Surgery - Digestive
45380,colonoscopy with biopsy,colonoscopy flexible with biopsy single or multiple by hot biopsy forceps or bipolar cautery,Surgery - Digestive
45381,colonoscopy with submucosal injection,colonoscopy flexible with directed submucosal injection of any substance for polyp removal site marking,Surgery - Digestive
45384,colonoscopy with removal of polyp by hot biopsy forceps,colonoscopy flexible with removal of tumor polyp or other lesion by hot biopsy forceps,Surgery - Digestive
45385,colonoscopy with removal of polyp by snare,colonoscopy flexible with removal of tumor polyp or other lesion by snare technique,Surgery - Digestive
46083,incision of thrombosed external hemorrhoid,incision of thrombosed hemorrhoid external including drainage and evacuation of thrombus,Surgery - Digestive
46221,hemorrhoidectomy by rubber band ligation internal,hemorrhoidectomy internal by rubber band ligation for treatment of symptomatic internal hemorrhoids,Surgery - Digestive
46255,hemorrhoidectomy external complete,hemorrhoidectomy external complete including excision of external hemorrhoidal tags when performed,Surgery - Digestive
46260,hemorrhoidectomy internal and external complex,hemorrhoidectomy internal and external complex or extensive for treatment of combined hemorrhoid disease,Surgery - Digestive
46600,anoscopy diagnostic,anoscopy diagnostic including collection of specimen by brushing or washing when performed,Surgery - Digestive
47000,liver biopsy needle percutaneous,biopsy of liver percutaneous needle approach including imaging guidance when performed,Surgery - Digestive
47100,liver biopsy wedge,biopsy of liver wedge approach during open abdominal surgery for hepatic disease diagnosis,Surgery - Digestive
47562,laparoscopic cholecystectomy,laparoscopy surgical cholecystectomy for gallbladder removal due to cholelithiasis or cholecystitis,Surgery - Digestive
47563,laparoscopic cholecystectomy with cholangiography,laparoscopy surgical cholecystectomy with cholangiography including intraoperative imaging of bile ducts,Surgery - Digestive
49505,inguinal hernia repair age 5 or over initial reducible,repair of initial inguinal hernia age 5 years or older reducible open approach,Surgery - Digestive
49507,inguinal hernia repair age 5 or over incarcerated,repair of initial inguinal hernia age 5 years or older incarcerated or strangulated open approach,Surgery - Digestive
49520,repair of recurrent inguinal hernia,repair of recurrent inguinal hernia any age reducible including mesh when used,Surgery - Digestive
49560,repair of incisional or ventral hernia initial reducible,repair of initial incisional or ventral hernia reducible with mesh or other prosthesis when used,Surgery - Digestive
49585,repair of umbilical hernia age 5 or over reducible,repair of umbilical hernia age 5 years or over reducible including mesh when used,Surgery - Digestive
49650,laparoscopic repair of inguinal hernia initial,laparoscopy surgical repair of initial inguinal hernia including mesh insertion when performed,Surgery - Digestive
50060,nephrolithotomy removal of calculus,nephrolithotomy removal of calculus including stone extraction from kidney,Surgery - Urinary
50200,renal biopsy percutaneous needle,renal biopsy percutaneous by trocar or needle approach including imaging guidance for kidney disease,Surgery - Urinary
50230,nephrectomy radical with regional lymphadenectomy,nephrectomy including radical with regional lymphadenectomy and or vena caval thrombectomy for renal cell carcinoma,Surgery - Urinary
50234,nephrectomy with total ureterectomy,nephrectomy with total ureterectomy and bladder cuff for urothelial carcinoma of renal pelvis,Surgery - Urinary
50543,laparoscopic partial nephrectomy,laparoscopy surgical partial nephrectomy including renal tumor excision with preservation of remaining kidney,Surgery - Urinary
50545,laparoscopic radical nephrectomy,laparoscopy surgical radical nephrectomy including removal of gerota fascia and regional lymphadenectomy when performed,Surgery - Urinary
50590,lithotripsy extracorporeal shock wave,lithotripsy extracorporeal shock wave for renal or ureteral calculus stone fragmentation,Surgery - Urinary
50700,ureteroplasty plastic operation on ureter,ureteroplasty plastic operation on ureter for stricture repair or ureteral reconstruction,Surgery - Urinary
50727,revision of urinary cutaneous diversion,revision of urinary cutaneous ostomy stoma for stenosis or malposition including urinary diversion maintenance,Surgery - Urinary
50945,laparoscopic ureterolithotomy,laparoscopy surgical ureterolithotomy removal of ureteral calculus from ureter,Surgery - Urinary
51020,cystotomy with drainage of pelvic abscess,cystotomy or cystostomy with fulguration and or insertion of radioactive material,Surgery - Urinary
51050,cystolithotomy removal of bladder calculus,cystolithotomy surgical removal of calculus from urinary bladder including stone extraction,Surgery - Urinary
51102,aspiration of bladder by trocar or needle,aspiration of bladder by needle or trocar approach with or without ultrasound guidance for urinary retention,Surgery - Urinary
51600,injection procedure for cystography,injection procedure for cystography or voiding urethrocystography for evaluation of bladder anatomy,Surgery - Urinary
51700,bladder irrigation simple lavage,bladder irrigation simple lavage and or instillation for treatment of bladder inflammation,Surgery - Urinary
51702,insertion of temporary indwelling bladder catheter simple,insertion of temporary indwelling bladder catheter simple foley catheter without imaging guidance,Surgery - Urinary
51705,change of cystostomy tube simple,change of cystostomy tube simple replacement of suprapubic catheter,Surgery - Urinary
51720,bladder instillation of anticarcinogenic agent,bladder instillation of anticarcinogenic agent such as bcg or mitomycin for bladder cancer treatment,Surgery - Urinary
51726,complex cystometrogram with voiding pressure studies,complex cystometrogram with voiding pressure studies including measurement of bladder capacity and compliance,Surgery - Urinary
51798,measurement of post void residual urine,measurement of post void residual urine and or bladder capacity by ultrasound non imaging,Surgery - Urinary
52000,cystourethroscopy diagnostic,cystourethroscopy cystoscopy diagnostic examination of bladder and urethra,Surgery - Urinary
52001,cystourethroscopy with irrigation and evacuation of clots,cystourethroscopy with irrigation and evacuation of multiple obstructing clots from bladder,Surgery - Urinary
52005,cystourethroscopy with ureteral catheterization,cystourethroscopy with ureteral catheterization with or without irrigation for collecting ureteral specimens,Surgery - Urinary
52204,cystourethroscopy with biopsy,cystourethroscopy with biopsy of bladder wall or urethra for pathological diagnosis,Surgery - Urinary
52235,cystourethroscopy with fulguration of bladder tumor,cystourethroscopy with fulguration including treatment of minor bladder tumors 0.5 to 2.0 cm,Surgery - Urinary
52310,cystourethroscopy with removal of foreign body or calculus,cystourethroscopy with removal of foreign body calculus or ureteral stent from bladder,Surgery - Urinary
61000,subdural tap through fontanelle,subdural tap through fontanelle or suture in infant for drainage of subdural fluid collection,Surgery - Nervous System
61105,twist drill hole for subdural drainage,twist drill hole for subdural or ventricular puncture for drainage of subdural hematoma,Surgery - Nervous System
61154,burr hole with evacuation of hematoma extradural or subdural,burr hole or trephine with evacuation and or drainage of hematoma extradural or subdural,Surgery - Nervous System
61210,burr hole for implanting ventricular catheter,burr hole for subdural implantation of transducer or ventricular catheter for intracranial pressure monitoring,Surgery - Nervous System
61312,craniectomy for evacuation of hematoma supratentorial,craniectomy or craniotomy for evacuation of hematoma supratentorial extradural or subdural,Surgery - Nervous System
61313,craniectomy for evacuation of hematoma infratentorial,craniectomy or craniotomy for evacuation of hematoma infratentorial extradural or subdural posterior fossa,Surgery - Nervous System
61510,craniectomy for excision of brain tumor supratentorial,craniectomy trephination bone flap craniotomy for excision of brain tumor supratentorial except meningioma,Surgery - Nervous System
61518,craniectomy for excision of brain tumor infratentorial,craniectomy for excision of brain tumor infratentorial or posterior fossa except meningioma cerebellopontine angle tumor,Surgery - Nervous System
62223,creation of shunt ventriculo peritoneal,creation of shunt ventriculoperitoneal ventriculoatrial or ventriculopleural for hydrocephalus treatment,Surgery - Nervous System
62230,replacement or revision of csf shunt valve or catheter,replacement or revision of cerebrospinal fluid shunt obstructed valve or proximal or distal catheter,Surgery - Nervous System
62270,lumbar puncture spinal tap diagnostic,spinal puncture lumbar diagnostic cerebrospinal fluid collection for analysis of meningitis or neurological disease,Surgery - Nervous System
62272,spinal puncture therapeutic for drainage of csf,spinal puncture therapeutic for drainage of cerebrospinal fluid for treatment of pseudotumor cerebri,Surgery - Nervous System
62280,injection of neurolytic substance subarachnoid,injection or infusion of neurolytic substance subarachnoid for pain management of cancer pain,Surgery - Nervous System
62310,injection epidural or subarachnoid cervical or thoracic,injection of diagnostic or therapeutic substance epidural or subarachnoid cervical or thoracic region,Surgery - Nervous System
62311,injection epidural or subarachnoid lumbar or sacral,injection of diagnostic or therapeutic substance epidural or subarachnoid lumbar or sacral for back pain treatment,Surgery - Nervous System
63001,laminectomy for exploration decompression of spinal cord cervical,laminectomy with exploration and or decompression of spinal cord and or cauda equina cervical region,Surgery - Nervous System
63005,laminectomy for exploration decompression lumbar,laminectomy with exploration and or decompression of spinal cord and or cauda equina lumbar region including central spinal stenosis,Surgery - Nervous System
63030,laminotomy with discectomy lumbar,laminotomy hemilaminectomy with decompression of nerve root including partial facetectomy and foraminotomy and discectomy one interspace lumbar,Surgery - Nervous System
63042,laminotomy with discectomy lumbar reexploration,laminotomy for reexploration and decompression including discectomy lumbar for recurrent disc herniation,Surgery - Nervous System
63047,laminectomy with facetectomy and foraminotomy lumbar single,laminectomy facetectomy and foraminotomy single vertebral segment with decompression of spinal cord lumbar,Surgery - Nervous System
63075,discectomy anterior with decompression cervical,discectomy anterior with decompression of spinal cord and or nerve root cervical single interspace including osteophytectomy,Surgery - Nervous System
64405,injection anesthetic agent greater occipital nerve,injection of anesthetic agent and or steroid into greater occipital nerve for occipital neuralgia and headache,Surgery - Nervous System
64447,injection anesthetic agent femoral nerve single,injection of anesthetic agent femoral nerve single for lower extremity pain management,Surgery - Nervous System
64450,injection anesthetic agent peripheral nerve,injection of anesthetic agent other peripheral nerve or branch for nerve block and pain management,Surgery - Nervous System
64483,injection transforaminal epidural lumbar single level,injection including fluoroscopic guidance transforaminal epidural with anesthetic and steroid lumbar or sacral single level,Surgery - Nervous System
64493,injection paravertebral facet joint lumbar single level,injection of diagnostic or therapeutic agent paravertebral facet joint or nerve innervating joint lumbar single level,Surgery - Nervous System
70030,radiologic examination eye for foreign body detection,radiologic examination of eye for detection of foreign body or orbital evaluation,Radiology
70100,radiologic examination mandible partial,radiologic examination of mandible partial less than 4 views for evaluation of fracture or dental pathology,Radiology
70110,radiologic examination mandible complete,radiologic examination of mandible complete minimum of 4 views for comprehensive evaluation,Radiology
70150,radiologic examination facial bones complete,radiologic examination of facial bones complete minimum of 3 views for evaluation of facial fracture,Radiology
70200,radiologic examination orbits complete,radiologic examination of orbits complete minimum of 4 views for orbital pathology evaluation,Radiology
70210,radiologic examination sinuses paranasal less than 3 views,radiologic examination of sinuses paranasal less than 3 views for evaluation of sinusitis or sinus pathology,Radiology
70220,radiologic examination sinuses paranasal complete,radiologic examination of sinuses paranasal complete minimum of 3 views for comprehensive sinus evaluation,Radiology
70250,radiologic examination skull less than 4 views,radiologic examination of skull less than 4 views for evaluation of skull fracture or cranial pathology,Radiology
70260,radiologic examination skull complete,radiologic examination of skull complete minimum of 4 views for comprehensive cranial evaluation,Radiology
70328,radiologic examination temporomandibular joint bilateral,radiologic examination of temporomandibular joint open and closed mouth bilateral for tmj dysfunction,Radiology
70450,ct scan head or brain without contrast,computed tomography of head or brain without contrast material for evaluation of stroke hemorrhage or tumor,Radiology
70460,ct scan head or brain with contrast,computed tomography of head or brain with contrast material for enhanced evaluation of intracranial pathology,Radiology
70470,ct scan head or brain without contrast followed by with contrast,computed tomography of head or brain without contrast material followed by contrast material and further sections,Radiology
70486,ct scan maxillofacial without contrast,computed tomography of maxillofacial area without contrast for evaluation of sinus disease facial trauma,Radiology
70491,ct scan soft tissue neck with contrast,computed tomography of soft tissue of neck with contrast material for evaluation of neck mass or lymphadenopathy,Radiology
70496,ct angiography head with contrast,computed tomographic angiography of head with contrast material including 3d rendering for evaluation of cerebral vasculature,Radiology
70498,ct angiography neck with contrast,computed tomographic angiography of neck with contrast material including 3d rendering for evaluation of carotid stenosis,Radiology
70540,mri orbit face neck without contrast,magnetic resonance imaging of orbit face and or neck without contrast material for soft tissue evaluation,Radiology
70551,mri brain without contrast,magnetic resonance imaging of brain including brainstem without contrast material for evaluation of neurological disease,Radiology
70553,mri brain without contrast followed by with contrast,magnetic resonance imaging of brain including brainstem without contrast material followed by contrast material and further sequences,Radiology
71045,chest x ray single view,radiologic examination of chest single view frontal for evaluation of pulmonary and cardiac conditions,Radiology
71046,chest x ray two views frontal and lateral,radiologic examination of chest two views frontal and lateral for comprehensive pulmonary and cardiac evaluation,Radiology
71047,chest x ray 3 views,radiologic examination of chest 3 views including frontal lateral and additional view for detailed evaluation,Radiology
71100,radiologic examination ribs unilateral 2 views,radiologic examination of ribs unilateral 2 views for evaluation of rib fracture or chest wall pathology,Radiology
71250,ct scan chest without contrast,computed tomography of thorax chest without contrast material for evaluation of pulmonary nodule lung disease or mediastinal pathology,Radiology
71260,ct scan chest with contrast,computed tomography of thorax chest with contrast material for enhanced evaluation of chest pathology lymphadenopathy,Radiology
71275,ct angiography chest with contrast,computed tomographic angiography of chest with contrast including 3d rendering for evaluation of pulmonary embolism aortic disease,Radiology
71550,mri chest without contrast,magnetic resonance imaging of chest without contrast material for evaluation of mediastinal mass or chest wall pathology,Radiology
72040,radiologic examination spine cervical 2 or 3 views,radiologic examination of spine cervical 2 or 3 views for evaluation of cervical spine pathology or injury,Radiology
72050,radiologic examination spine cervical 4 or 5 views,radiologic examination of spine cervical 4 or 5 views including flexion extension for cervical spine evaluation,Radiology
72070,radiologic examination spine thoracic 2 views,radiologic examination of thoracic spine 2 views for evaluation of thoracic spine pathology,Radiology
72100,radiologic examination spine lumbosacral 2 or 3 views,radiologic examination of spine lumbosacral 2 or 3 views for evaluation of low back pain or spinal pathology,Radiology
72110,radiologic examination spine lumbosacral complete,radiologic examination of spine lumbosacral complete including bending views minimum of 4 views,Radiology
72125,ct scan cervical spine without contrast,computed tomography of cervical spine without contrast for evaluation of cervical disc disease fracture or stenosis,Radiology
72131,ct scan lumbar spine without contrast,computed tomography of lumbar spine without contrast for evaluation of lumbar disc herniation fracture or stenosis,Radiology
72141,mri cervical spine without contrast,magnetic resonance imaging of cervical spine without contrast material for evaluation of disc herniation radiculopathy or myelopathy,Radiology
72148,mri lumbar spine without contrast,magnetic resonance imaging of lumbar spine without contrast material for evaluation of disc herniation sciatica or spinal stenosis,Radiology
72156,mri cervical spine without contrast followed by with contrast,magnetic resonance imaging of cervical spine without contrast followed by contrast material and further sequences,Radiology
72158,mri lumbar spine without contrast followed by with contrast,magnetic resonance imaging of lumbar spine without contrast followed by contrast material and further sequences,Radiology
72170,radiologic examination pelvis 1 or 2 views,radiologic examination of pelvis 1 or 2 views for evaluation of pelvic fracture or hip pathology,Radiology
72192,ct scan pelvis without contrast,computed tomography of pelvis without contrast material for evaluation of pelvic mass fracture or abdominal pathology,Radiology
